Municipality Name,County,MPO,Year,Combination Long-Haul Truck,Combination Short-Haul Truck,Intercity Bus,Light Commercial Trucks,Motor Home,Motorcycles,Passenger Cars,Passenger Trucks,Refuse Truck,School Bus,Single Unit Long-Haul Truck,Single Unit Short-Haul Truck,Transit Bus,Total
Ventnor City,Atlantic,SJTPO,2020,408.81,193.26,157.46,564.27,3.49,58.07,3835.34,3632.25,33.68,58.41,257.92,504.99,72.56,10548.63
Alpha,Warren,NJTPA,2019,1180.64,282.56,85.15,352.87,16.48,54.36,6707.01,994.03,88.15,83.07,169.56,428.19,68.08,10510.15
Magnolia,Camden,DVRPC,2015,271.67,840.47,62.9,864.74,28.41,43.71,4218.91,4654.6,73.66,70.6,270,534.8,40.89,10502.03
Fredon,Sussex,NJTPA,2019,1175.11,281.23,84.75,351.22,16.4,54.1,6675.62,989.38,87.74,82.68,168.77,426.19,67.77,10460.96
Mannington,Salem,SJTPO,2015,1091.98,170.26,126.8,425.47,47.95,89.1,3227.4,6192.12,60.86,176.8,525.89,387.3,55.98,10460.13
Highlands,Monmouth,NJTPA,2017,173.36,43.07,19.19,459.01,10.67,97.15,7819.55,1388.86,36.41,49.98,98.19,238.44,15.03,10448.92
East Amwell,Hunterdon,NJTPA,2019,1167.28,279.36,84.18,348.88,16.29,53.74,6631.11,982.78,87.15,82.13,167.64,423.35,67.31,10391.22
Long Beach,Ocean,NJTPA,2017,291.44,72.41,86.36,661.13,20.44,76.1,6686.75,2000.41,50.43,109.48,78.02,189.42,66.93,10389.32
Lakehurst,Ocean,NJTPA,2017,300,74.53,65.6,454.84,51.29,72.27,6934.5,1376.23,124.6,83.39,183.95,446.61,50.84,10218.64
National Park,Gloucester,DVRPC,2019,390.41,156.94,134.62,428.08,25.07,65.71,3511.57,3725.35,138.68,113.94,289.3,462.18,62.77,10195.4
Sussex,Sussex,NJTPA,2019,1141.24,273.13,82.3,341.1,15.93,52.54,6483.18,960.86,85.21,80.3,163.9,413.9,65.81,10159.39
Bass River,Burlington,DVRPC,2015,262.42,811.87,60.76,835.31,27.44,42.22,4075.32,4496.18,71.16,68.19,260.81,516.6,39.5,10144.6
Green Brook,Sussex,NJTPA,2017,189.38,47.05,25.99,639.31,29.68,84.54,6549.96,1934.39,46.17,65.96,138.67,337.08,20.24,10108.41
Haworth,Bergen,NJTPA,2017,224.73,55.83,46.11,705.31,1.36,51.78,6529,2134.09,12.49,34.06,49.4,119.91,35.8,9999.86
Franklin,Warren,NJTPA,2019,1120.44,268.15,80.8,334.88,15.64,51.59,6365.03,943.35,83.66,78.84,160.92,406.36,64.61,9974.25
Long Beach,Ocean,NJTPA,2019,1119.39,267.9,80.73,334.57,15.62,51.54,6359.06,942.46,83.58,78.76,160.77,405.98,64.55,9964.9
Sussex,Sussex,NJTPA,2017,137.55,34.17,16.47,668.99,22.8,88.4,6479.47,2024.21,35.48,41.78,106.55,259.01,12.82,9927.71
Ventnor City,Atlantic,SJTPO,2015,931.94,548.06,173.15,589.33,28.93,56.04,3392.76,5115.74,76.41,147.79,218.84,588.25,78.2,9854.23
Alloway,Salem,SJTPO,2015,1134.87,185.2,227.36,475.17,44.46,66.1,3141.02,5303.49,71.67,335.82,569.1,476.62,102.43,9783.31
Brigantine,Atlantic,SJTPO,2015,922.2,542.33,171.34,583.17,28.63,55.45,3357.28,5062.25,75.61,146.25,216.55,582.1,77.38,9751.18
Mine Hill,Morris,NJTPA,2017,214.07,53.18,66.96,465.48,4.89,16.62,7101.12,1408.44,19.16,110.03,67.24,163.21,51.88,9742.28
