Municipality Name,County,MPO,Year,Combination Long-Haul Truck,Combination Short-Haul Truck,Intercity Bus,Light Commercial Trucks,Motor Home,Motorcycles,Passenger Cars,Passenger Trucks,Refuse Truck,School Bus,Single Unit Long-Haul Truck,Single Unit Short-Haul Truck,Transit Bus,Total
Mendham ,Morris,NJTPA,2017,65774,16340,76159,1377702,5183,266288,28704685,4168603,20325,125145,71313,173099,59007,35129623
Prospect Park ,Passaic,NJTPA,2019,1287930,321380,76111,747928,27451,146087,14156303,2442660,43353,96344,170070,416375,58947,19990939
Allendale ,Bergen,NJTPA,2017,316705,78682,75560,3495004,4746,409602,42564813,10575061,43742,55815,172983,419918,58666,58271297
Riverside,Burlington,DVRPC,2015,222383,689022,72912,2562871,40102,204155,17506267,13795026,102077,83849,379144,750998,47393,36456200
Oradell ,Bergen,NJTPA,2017,263433,65447,72353,3414382,2987,416846,43203631,10331118,27528,53446,108864,264267,56176,58280478
Shrewsbury,Monmouth,NJTPA,2017,113900,28297,72301,1861539,20039,401062,46715856,5632580,68408,188312,184465,447934,56643,55791336
Monmouth Beach ,Monmouth,NJTPA,2019,1218547,304067,72011,707636,25972,138217,13393687,2311071,41017,91154,160908,393944,55771,18914002
Hasbrouck Heights ,Bergen,NJTPA,2017,799440,198613,71814,3192414,4863,315019,46628192,9659493,44814,53048,177217,430195,55757,61630879
River Edge ,Bergen,NJTPA,2017,224468,55766,71658,3027272,2139,370604,43924994,9159815,19714,52933,77957,189245,55637,57232202
Sea Isle City ,Cape May,SJTPO,2015,132820,153725,71067,602052,37010,82314,4167469,4787420,58053,45174,70598,342557,32607,10126205
Washington,Bergen,NJTPA,2017,168427,41844,71057,2399429,1800,345243,34982806,7260107,16588,52489,65597,159236,55170,45619793
Freehold ,Monmouth,NJTPA,2017,129354,32140,70669,2196862,28472,740264,56127597,6647188,97193,184058,262087,636419,55364,67207667
Elk,Gloucester,DVRPC,2015,215133,666561,70536,2479324,38795,197499,16935578,13345320,98750,81116,366785,726516,45848,35267760
River Vale,Bergen,NJTPA,2017,386316,95977,70027,3182301,4372,588191,48089600,9628893,40286,51727,159309,386723,54369,62738091
