zip,Zipcode name,City,State,County Name
8315,"DIVIDING CREEK, NJ",DIVIDING CREEK,NJ,CUMBERLAND
8314,"DELMONT, NJ",DELMONT,NJ,CUMBERLAND
8313,"DEERFIELD STREET, NJ",DEERFIELD STREET,NJ,CUMBERLAND
8312,"CLAYTON, NJ",CLAYTON,NJ,GLOUCESTER
8311,"CEDARVILLE, NJ",CEDARVILLE,NJ,CUMBERLAND
8310,"BUENA, NJ",BUENA,NJ,ATLANTIC
8302,"BRIDGETON, NJ",BRIDGETON,NJ,CUMBERLAND
8270,"WOODBINE, NJ",WOODBINE,NJ,CAPE MAY
8260,"WILDWOOD, NJ",WILDWOOD,NJ,CAPE MAY
8252,"WHITESBORO, NJ",WHITESBORO,NJ,CAPE MAY
8251,"VILLAS, NJ",VILLAS,NJ,CAPE MAY
8250,"TUCKAHOE, NJ",TUCKAHOE,NJ,CAPE MAY
8248,"STRATHMERE, NJ",STRATHMERE,NJ,CAPE MAY
8247,"STONE HARBOR, NJ",STONE HARBOR,NJ,CAPE MAY
8246,"SOUTH SEAVILLE, NJ",SOUTH SEAVILLE,NJ,CAPE MAY
8245,"SOUTH DENNIS, NJ",SOUTH DENNIS,NJ,CAPE MAY
8244,"SOMERS POINT, NJ",SOMERS POINT,NJ,ATLANTIC
8243,"SEA ISLE CITY, NJ",SEA ISLE CITY,NJ,CAPE MAY
8242,"RIO GRANDE, NJ",RIO GRANDE,NJ,CAPE MAY
8241,"PORT REPUBLIC, NJ",PORT REPUBLIC,NJ,ATLANTIC
8240,"POMONA, NJ",POMONA,NJ,ATLANTIC
8234,"EGG HARBOR TOWNSHIP, NJ",EGG HARBOR TOWNSHIP,NJ,ATLANTIC
8232,"PLEASANTVILLE, NJ",PLEASANTVILLE,NJ,ATLANTIC
8231,"OCEANVILLE, NJ",OCEANVILLE,NJ,ATLANTIC
8230,"OCEAN VIEW, NJ",OCEAN VIEW,NJ,CAPE MAY
8226,"OCEAN CITY, NJ",OCEAN CITY,NJ,CAPE MAY
