Municipality,County,Year,Total_Personal_Vehicles,# of EVs,% of EVs
Harmony,Warren,2020,2198,4,0.18%
Edgewater Park,Burlington,2020,5568,10,0.18%
Palmyra,Burlington,2015,5046,9,0.18%
Pennsville,Salem,2020,9086,16,0.18%
Maplewood,Essex,2015,12606,22,0.17%
Haddonfield,Camden,2015,7803,13,0.17%
Greenwich,Gloucester,2020,3494,6,0.17%
Keansburg,Monmouth,2020,5860,10,0.17%
Millstone,Monmouth,2015,7600,13,0.17%
Buena,Atlantic,2020,2957,5,0.17%
Hopewell,Cumberland,2020,2983,5,0.17%
South Brunswick,Middlesex,2015,29344,49,0.17%
Island Heights,Ocean,2015,1273,2,0.16%
Elizabeth,Union,2020,51731,85,0.16%
Livingston,Essex,2015,19288,32,0.16%
Bernards,Somerset,2015,17670,29,0.16%
Moorestown,Burlington,2015,14311,23,0.16%
Bordentown,Burlington,2015,2583,4,0.16%
Lebanon,Hunterdon,2015,1347,2,0.16%
Califon,Hunterdon,2015,834,1,0.16%
Westwood,Bergen,2015,6877,11,0.16%
Lambertville,Hunterdon,2015,3160,5,0.16%
Stone Harbor,Cape May,2015,648,1,0.15%
Chatham,Morris,2015,5456,8,0.15%
Madison,Morris,2015,9726,15,0.15%
Franklin,Hunterdon,2015,2612,4,0.15%
Newark,Essex,2020,92490,141,0.15%
Ridgewood,Bergen,2015,15735,24,0.15%
Loch Arbour,Monmouth,2015,132,0,0.15%
Oradell,Bergen,2015,5314,8,0.15%
Quinton,Salem,2020,2002,3,0.15%
Mountainside,Union,2015,4626,7,0.15%
Mendham,Morris,2015,4102,6,0.15%
Glen Gardner,Hunterdon,2015,1231,2,0.15%
West Long Branch,Monmouth,2015,4810,7,0.15%
Bay Head,Ocean,2015,756,1,0.15%
Woodcliff Lake,Bergen,2015,4213,6,0.14%
Highland Park,Middlesex,2015,7642,11,0.14%
Voorhees,Camden,2015,18068,26,0.14%
Chatham,Morris,2015,7021,10,0.14%
Lower Alloways Creek,Salem,2020,1391,2,0.14%
Monroe,Middlesex,2015,28818,41,0.14%
South Toms River,Ocean,2020,2154,3,0.14%
Plainsboro,Middlesex,2015,15022,21,0.14%
Medford,Burlington,2015,16389,23,0.14%
Paterson,Passaic,2020,48712,67,0.14%
Paulsboro,Gloucester,2020,3650,5,0.14%
Leonia,Bergen,2015,5103,7,0.14%
Red Bank,Monmouth,2015,6466,9,0.13%
Chester,Morris,2015,5657,8,0.13%
Sea Girt,Monmouth,2015,1349,2,0.13%
Harding,Morris,2015,3074,4,0.13%
Sparta,Sussex,2015,13563,18,0.13%
Englewood,Bergen,2015,15117,20,0.13%
East Amwell,Hunterdon,2015,3185,4,0.13%
Port Republic,Atlantic,2015,759,1,0.13%
Hanover,Morris,2015,10005,13,0.13%
Closter,Bergen,2015,5277,7,0.13%
Midland Park,Bergen,2015,4594,6,0.13%
Long Hill,Morris,2015,6215,8,0.13%
Edgewater,Bergen,2015,7021,9,0.13%
Secaucus,Hudson,2015,10098,13,0.13%
Franklin Lakes,Bergen,2015,8589,11,0.13%
Magnolia,Camden,2015,2658,3,0.13%
Morris Plains,Morris,2015,3833,5,0.13%
Hightstown,Mercer,2015,3442,4,0.13%
Fanwood,Union,2015,4701,6,0.13%
Frenchtown,Hunterdon,2015,1101,1,0.13%
Morris,Morris,2015,15584,20,0.13%
Point Pleasant Beach,Ocean,2015,3324,4,0.13%
Cherry Hill,Camden,2015,46741,59,0.13%
Asbury Park,Monmouth,2015,6681,8,0.13%
Milltown,Middlesex,2015,4955,6,0.13%
Lakehurst,Ocean,2015,1524,2,0.12%
Tewksbury,Hunterdon,2015,4920,6,0.12%
Essex Fells,Essex,2015,1633,2,0.12%
Longport,Atlantic,2015,735,1,0.12%
Ramsey,Bergen,2015,10570,13,0.12%
Rockleigh,Bergen,2015,164,0,0.12%
Hi-Nella,Camden,2015,498,1,0.12%
Northvale,Bergen,2015,3156,4,0.12%
Elk,Gloucester,2015,2824,3,0.12%
Mansfield,Burlington,2015,6424,8,0.12%
Berkeley Heights,Union,2015,8724,10,0.12%
Monmouth Beach,Monmouth,2015,2518,3,0.12%
Westfield,Union,2015,19416,23,0.12%
Marlboro,Monmouth,2015,27015,32,0.12%
Haddon,Camden,2015,9557,11,0.12%
Robbinsville,Mercer,2015,9667,11,0.12%
Weehawken,Hudson,2015,5957,7,0.12%
Ridgefield Park,Bergen,2015,6817,8,0.12%
Fair Haven,Monmouth,2015,4176,5,0.12%
West Amwell,Hunterdon,2015,2305,3,0.12%
Collingswood,Camden,2015,8635,10,0.12%
Spring Lake Heights,Monmouth,2015,3506,4,0.12%
Lebanon,Hunterdon,2015,5228,6,0.12%
Allenhurst,Monmouth,2015,343,0,0.12%
Cranbury,Middlesex,2015,2693,3,0.12%
Newfield,Gloucester,2015,1132,1,0.11%
Wood-Ridge,Bergen,2015,5230,6,0.11%
Stockton,Hunterdon,2015,436,1,0.11%
Elmer,Salem,2015,960,1,0.11%
Readington,Hunterdon,2015,12675,15,0.11%
Florham Park,Morris,2015,7100,8,0.11%
Spring Lake,Monmouth,2015,2218,3,0.11%
Hillsborough,Somerset,2015,26430,30,0.11%
Delaware,Hunterdon,2015,3847,4,0.11%
Allentown,Monmouth,2015,1344,2,0.11%
Harrison,Gloucester,2015,8453,9,0.11%
Cresskill,Bergen,2015,5602,6,0.11%
Barrington,Camden,2015,4520,5,0.11%
Englishtown,Monmouth,2015,1271,1,0.11%
South Bound Brook,Somerset,2015,2634,3,0.11%
Frankford,Sussex,2015,4182,5,0.11%
Southampton,Burlington,2015,7735,9,0.11%
Kingwood,Hunterdon,2015,3006,3,0.11%
River Vale,Bergen,2015,6607,7,0.11%
Somerville,Somerset,2015,7081,8,0.11%
Medford Lakes,Burlington,2015,3042,3,0.11%
Maurice River,Cumberland,2020,1850,2,0.11%
Clinton,Hunterdon,2015,1671,2,0.11%
Jamesburg,Middlesex,2015,3463,4,0.11%
Mantoloking,Ocean,2015,286,0,0.10%
Glen Rock,Bergen,2015,7742,8,0.10%
Cedar Grove,Essex,2015,7838,8,0.10%
Belmar,Monmouth,2015,4112,4,0.10%
Ship Bottom,Ocean,2015,766,1,0.10%
Alexandria,Hunterdon,2015,3646,4,0.10%
Woodbine,Cape May,2015,1159,1,0.10%
Bloomsbury,Hunterdon,2015,583,1,0.10%
Franklin,Somerset,2015,40227,41,0.10%
Woodlynne,Camden,2015,1086,1,0.10%
Burlington,Burlington,2015,6132,6,0.10%
Denville,Morris,2015,12274,12,0.10%
Bedminster,Somerset,2015,6854,7,0.10%
East Orange,Essex,2020,23862,24,0.10%
Montville,Morris,2015,15160,15,0.10%
Bordentown,Burlington,2015,7897,8,0.10%
Bernardsville,Somerset,2015,5405,5,0.10%
Old Tappan,Bergen,2015,4104,4,0.10%
Beach Haven,Ocean,2015,802,1,0.10%
Upper,Cape May,2015,9243,9,0.10%
Wrightstown,Burlington,2015,404,0,0.10%
Franklin,Sussex,2015,3435,3,0.10%
East Windsor,Mercer,2015,16438,16,0.10%
Cape May,Cape May,2015,1855,2,0.10%
Cinnaminson,Burlington,2015,11661,11,0.10%
Washington,Morris,2015,13313,13,0.10%
Metuchen,Middlesex,2015,8704,8,0.10%
National Park,Gloucester,2020,2076,2,0.10%
Harrington Park,Bergen,2015,3117,3,0.10%
Chesterfield,Burlington,2015,4181,4,0.10%
Millstone,Somerset,2015,314,0,0.10%
Lake Como,Monmouth,2015,1054,1,0.09%
Branchburg,Somerset,2015,10341,10,0.09%
Sussex,Sussex,2015,1161,1,0.09%
Irvington,Essex,2020,22268,21,0.09%
Scotch Plains,Union,2015,16037,15,0.09%
Bloomingdale,Passaic,2015,5322,5,0.09%
Bethlehem,Hunterdon,2015,3091,3,0.09%
Upper Pittsgrove,Salem,2015,2457,2,0.09%
Montvale,Bergen,2015,5358,5,0.09%
Roseland,Essex,2015,4296,4,0.09%
Fort Lee,Bergen,2015,21598,20,0.09%
Long Beach,Ocean,2015,2591,2,0.09%
Fieldsboro,Burlington,2015,432,0,0.09%
Washington,Bergen,2015,6483,6,0.09%
Teaneck,Bergen,2015,21614,20,0.09%
Milford,Hunterdon,2015,865,1,0.09%
Sandyston,Sussex,2015,1519,1,0.09%
Union,Hunterdon,2015,3838,4,0.09%
Hammonton,Atlantic,2015,9456,9,0.09%
Franklin,Warren,2015,2424,2,0.09%
Riverdale,Morris,2015,3326,3,0.09%
Mount Holly,Burlington,2015,5327,5,0.09%
Raritan,Hunterdon,2015,15877,14,0.09%
Paramus,Bergen,2015,16641,15,0.09%
Bloomfield,Essex,2015,26640,24,0.09%
Haworth,Bergen,2015,2358,2,0.09%
Middle,Cape May,2015,12138,11,0.09%
Egg Harbor City,Atlantic,2015,2365,2,0.09%
Merchantville,Camden,2015,2262,2,0.09%
Mount Laurel,Burlington,2015,29434,26,0.09%
Commercial,Cumberland,2015,3067,3,0.09%
Riverton,Burlington,2015,1943,2,0.09%
Cranford,Union,2015,15906,14,0.09%
Pemberton,Burlington,2015,1032,1,0.09%
Woodbury Heights,Gloucester,2015,2070,2,0.09%
Piscataway,Middlesex,2015,30116,26,0.09%
Franklin,Gloucester,2015,11612,10,0.09%
Hoboken,Hudson,2015,19782,17,0.09%
Woodbury,Gloucester,2015,5726,5,0.09%
East Brunswick,Middlesex,2015,31289,27,0.09%
Bergenfield,Bergen,2015,15182,13,0.08%
Greenwich,Gloucester,2015,3560,3,0.08%
Somerdale,Camden,2015,3442,3,0.08%
Harvey Cedars,Ocean,2015,357,0,0.08%
Washington,Warren,2015,4183,4,0.08%
Manalapan,Monmouth,2015,26959,22,0.08%
Ventnor City,Atlantic,2015,5786,5,0.08%
Rockaway,Morris,2015,4224,4,0.08%
Parsippany-Troy Hills,Morris,2015,34684,29,0.08%
Ringwood,Passaic,2015,8479,7,0.08%
Fairfield,Essex,2015,4874,4,0.08%
Avalon,Cape May,2015,1232,1,0.08%
South Harrison,Gloucester,2015,2251,2,0.08%
Holland,Hunterdon,2015,4131,3,0.08%
Swedesboro,Gloucester,2015,1510,1,0.08%
Dennis,Cape May,2015,4924,4,0.08%
Haddon Heights,Camden,2015,5052,4,0.08%
West Orange,Essex,2015,27101,21,0.08%
Keyport,Monmouth,2015,4212,3,0.08%
Boonton,Morris,2015,5544,4,0.08%
Edison,Middlesex,2015,60480,47,0.08%
Oaklyn,Camden,2015,2709,2,0.08%
Ridgefield,Bergen,2015,6463,5,0.08%
Wyckoff,Bergen,2015,11639,9,0.08%
Hampton,Hunterdon,2015,907,1,0.08%
West Cape May,Cape May,2015,652,1,0.08%
Branchville,Sussex,2015,526,0,0.08%
Pleasantville,Atlantic,2020,9236,7,0.08%
East Rutherford,Bergen,2015,5282,4,0.08%
Plainfield,Union,2015,20832,16,0.08%
Evesham,Burlington,2015,31935,24,0.08%
Lavallette,Ocean,2015,1597,1,0.08%
North Brunswick,Middlesex,2015,24907,19,0.07%
Surf City,Ocean,2015,939,1,0.07%
Roselle Park,Union,2015,8058,6,0.07%
Oceanport,Monmouth,2015,4035,3,0.07%
Lumberton,Burlington,2015,8118,6,0.07%
Westampton,Burlington,2015,6096,5,0.07%
Mahwah,Bergen,2015,16288,12,0.07%
Egg Harbor,Atlantic,2015,27423,20,0.07%
Glen Ridge,Essex,2015,4361,3,0.07%
Ocean,Monmouth,2015,18175,13,0.07%
Burlington,Burlington,2015,14191,10,0.07%
South River,Middlesex,2015,9674,7,0.07%
Shamong,Burlington,2015,4841,4,0.07%
Shrewsbury,Monmouth,2015,693,1,0.07%
Point Pleasant,Ocean,2015,13208,10,0.07%
Tabernacle,Burlington,2015,5297,4,0.07%
Brick,Ocean,2015,53207,38,0.07%
Maywood,Bergen,2015,5616,4,0.07%
Hardyston,Sussex,2015,6054,4,0.07%
Eatontown,Monmouth,2015,8738,6,0.07%
Winslow,Camden,2015,24412,17,0.07%
Middletown,Monmouth,2015,45668,32,0.07%
Avon-by-the-Sea,Monmouth,2015,1423,1,0.07%
West Caldwell,Essex,2015,6833,5,0.07%
Allendale,Bergen,2015,4418,3,0.07%
Raritan,Somerset,2015,4431,3,0.07%
Freehold,Monmouth,2015,5153,4,0.07%
Mullica,Atlantic,2015,4152,3,0.07%
Park Ridge,Bergen,2015,5742,4,0.07%
New Brunswick,Middlesex,2015,14721,10,0.07%
Vernon,Sussex,2015,16891,12,0.07%
New Hanover,Burlington,2015,1160,1,0.07%
Bradley Beach,Monmouth,2015,2960,2,0.07%
Hasbrouck Heights,Bergen,2015,7454,5,0.07%
Ocean City,Cape May,2015,7512,5,0.07%
Tuckerton,Ocean,2015,2256,2,0.07%
Byram,Sussex,2015,6017,4,0.07%
Matawan,Monmouth,2015,5886,4,0.07%
Bridgewater,Somerset,2015,29384,19,0.07%
Caldwell,Essex,2015,5218,3,0.07%
Gibbsboro,Camden,2015,1535,1,0.07%
Upper Freehold,Monmouth,2015,5221,3,0.07%
Long Branch,Monmouth,2015,16830,11,0.06%
Helmetta,Middlesex,2015,1546,1,0.06%
Harrison,Hudson,2015,5730,4,0.06%
Waterford,Camden,2015,6977,5,0.06%
Margate City,Atlantic,2015,4817,3,0.06%
Hainesport,Burlington,2015,4666,3,0.06%
Green,Sussex,2015,2492,2,0.06%
Mansfield,Warren,2015,5771,4,0.06%
Little Ferry,Bergen,2015,6242,4,0.06%
Eastampton,Burlington,2015,4070,3,0.06%
Berlin,Camden,2015,4560,3,0.06%
Hamburg,Sussex,2015,2359,2,0.06%
Riverside,Burlington,2015,4887,3,0.06%
Montague,Sussex,2015,2681,2,0.06%
Ogdensburg,Sussex,2020,1580,1,0.06%
Millville,Cumberland,2015,16275,10,0.06%
Deptford,Gloucester,2015,19764,13,0.06%
Butler,Morris,2015,4750,3,0.06%
Hackensack,Bergen,2015,22056,14,0.06%
Moonachie,Bergen,2015,1587,1,0.06%
Newton,Sussex,2015,4296,3,0.06%
Jefferson,Morris,2015,15646,10,0.06%
North Wildwood,Cape May,2015,2718,2,0.06%
Wantage,Sussex,2015,8198,5,0.06%
Greenwich,Warren,2015,3700,2,0.06%
Beverly,Burlington,2015,1480,1,0.06%
Prospect Park,Passaic,2015,2634,2,0.06%
West Wildwood,Cape May,2015,331,0,0.06%
Jersey City,Hudson,2015,81724,49,0.06%
Waldwick,Bergen,2015,6660,4,0.06%
Delanco,Burlington,2015,3170,2,0.06%
Wildwood,Cape May,2015,2840,2,0.06%
Haledon,Passaic,2015,4196,3,0.06%
New Providence,Union,2015,7562,5,0.06%
North Plainfield,Somerset,2015,11991,7,0.06%
Brigantine,Atlantic,2015,6844,4,0.06%
Delran,Burlington,2015,10852,6,0.06%
Washington,Gloucester,2015,31718,18,0.06%
Clinton,Hunterdon,2015,8447,5,0.06%
Lafayette,Sussex,2015,1731,1,0.06%
Hazlet,Monmouth,2015,13764,8,0.06%
Pemberton,Burlington,2015,18353,11,0.06%
Aberdeen,Monmouth,2015,12240,7,0.06%
Tinton Falls,Monmouth,2015,11725,7,0.06%
Corbin City,Atlantic,2015,350,0,0.06%
Hamilton,Atlantic,2015,16283,9,0.06%
Florence,Burlington,2015,8951,5,0.06%
Verona,Essex,2015,8811,5,0.06%
Rahway,Union,2015,15960,9,0.06%
Liberty,Warren,2015,2133,1,0.06%
Boonton,Morris,2015,3212,2,0.06%
Mount Olive,Morris,2015,19279,11,0.06%
Washington,Warren,2015,5015,3,0.06%
Randolph,Morris,2015,17804,10,0.06%
Ewing,Mercer,2015,21607,12,0.06%
Oakland,Bergen,2015,9035,5,0.06%
Woodland Park,Passaic,2015,7417,4,0.06%
Galloway,Atlantic,2015,21578,12,0.06%
Rutherford,Bergen,2015,11083,6,0.06%
Wayne,Passaic,2015,34528,19,0.06%
Gloucester,Camden,2015,41195,23,0.05%
Camden,Camden,2020,25563,14,0.05%
Jackson,Ocean,2015,38627,21,0.05%
Howell,Monmouth,2015,34798,19,0.05%
Folsom,Atlantic,2015,1283,1,0.05%
Springfield,Burlington,2015,2572,1,0.05%
Beachwood,Ocean,2015,7365,4,0.05%
Woolwich,Gloucester,2015,7378,4,0.05%
Hamilton,Mercer,2015,58255,32,0.05%
Monroe,Gloucester,2015,23516,13,0.05%
Willingboro,Burlington,2015,18547,10,0.05%
Salem,Salem,2015,2046,1,0.05%
Allamuchy,Warren,2015,3549,2,0.05%
Pennsville,Salem,2015,9387,5,0.05%
North Hanover,Burlington,2015,4696,3,0.05%
Roxbury,Morris,2015,15971,9,0.05%
North Caldwell,Essex,2015,4728,3,0.05%
Rockaway,Morris,2015,17039,9,0.05%
Bridgeton,Cumberland,2015,8152,4,0.05%
Northfield,Atlantic,2015,5516,3,0.05%
Hackettstown,Warren,2015,5707,3,0.05%
South Plainfield,Middlesex,2015,15601,8,0.05%
Freehold,Monmouth,2015,23432,12,0.05%
North Arlington,Bergen,2015,9560,5,0.05%
Wall,Monmouth,2015,18509,10,0.05%
Edgewater Park,Burlington,2015,5794,3,0.05%
Winfield,Union,2015,970,1,0.05%
Andover,Sussex,2015,3946,2,0.05%
Little Egg Harbor,Ocean,2015,14316,7,0.05%
Linden,Union,2015,22877,12,0.05%
Hawthorne,Passaic,2015,12032,6,0.05%
West Milford,Passaic,2015,18726,9,0.05%
New Milford,Bergen,2015,10231,5,0.05%
Clark,Union,2015,10246,5,0.05%
Union Beach,Monmouth,2015,3702,2,0.05%
Manville,Somerset,2015,6219,3,0.05%
Downe,Cumberland,2015,1041,1,0.05%
Fair Lawn,Bergen,2015,20699,10,0.05%
Hope,Warren,2015,1471,1,0.05%
Old Bridge,Middlesex,2015,42870,20,0.05%
Little Silver,Monmouth,2015,4255,2,0.05%
North Haledon,Passaic,2015,5998,3,0.05%
Clementon,Camden,2015,3074,1,0.05%
Hardwick,Warren,2015,1099,1,0.05%
Stratford,Camden,2015,4398,2,0.05%
Lindenwold,Camden,2015,9546,4,0.05%
Interlaken,Monmouth,2015,667,0,0.04%
Woodbridge,Middlesex,2015,57597,26,0.04%
Little Falls,Passaic,2015,8799,4,0.04%
East Greenwich,Gloucester,2015,6788,3,0.04%
Toms River,Ocean,2015,61597,27,0.04%
Dumont,Bergen,2015,11333,5,0.04%
Lopatcong,Warren,2015,5458,2,0.04%
Manchester,Ocean,2015,30775,14,0.04%
Pine Hill,Camden,2015,5938,3,0.04%
Lodi,Bergen,2015,13518,6,0.04%
Wallington,Bergen,2015,7119,3,0.04%
Independence,Warren,2015,4154,2,0.04%
Phillipsburg,Warren,2015,8309,4,0.04%
Hampton,Sussex,2015,3947,2,0.04%
Perth Amboy,Middlesex,2015,20012,9,0.04%
Mantua,Gloucester,2015,10726,5,0.04%
Wildwood Crest,Cape May,2015,2345,1,0.04%
Gloucester City,Camden,2015,5867,3,0.04%
Hillside,Union,2015,11814,5,0.04%
Pennsauken,Camden,2015,20879,9,0.04%
Runnemede,Camden,2015,5025,2,0.04%
Stillwater,Sussex,2015,3113,1,0.04%
Vineland,Cumberland,2015,34378,14,0.04%
Logan,Gloucester,2015,4126,2,0.04%
Fredon,Sussex,2015,2453,1,0.04%
Wanaque,Passaic,2015,7375,3,0.04%
Buena Vista,Atlantic,2015,5217,2,0.04%
Clifton,Passaic,2015,45145,18,0.04%
Manasquan,Monmouth,2015,4287,2,0.04%
Blairstown,Warren,2015,4311,2,0.04%
Green Brook,Somerset,2015,4822,2,0.04%
Kinnelon,Morris,2015,7680,3,0.04%
Kearny,Hudson,2015,20607,8,0.04%
Stanhope,Sussex,2015,2584,1,0.04%
Lower,Cape May,2015,15385,6,0.04%
Nutley,Essex,2015,18002,7,0.04%
Frelinghuysen,Warren,2015,1836,1,0.04%
Maple Shade,Burlington,2015,12599,5,0.04%
Glassboro,Gloucester,2015,10829,4,0.04%
Berkeley,Ocean,2015,29667,11,0.04%
Neptune City,Monmouth,2015,2931,1,0.04%
Hopatcong,Sussex,2015,10925,4,0.04%
Stafford,Ocean,2015,18722,7,0.04%
East Newark,Hudson,2015,805,0,0.04%
Bass River,Burlington,2015,1080,0,0.04%
Spotswood,Middlesex,2015,5461,2,0.04%
Pittsgrove,Salem,2015,6576,2,0.04%
Pohatcong,Warren,2015,2480,1,0.04%
Cliffside Park,Bergen,2015,13423,5,0.04%
Fairfield,Cumberland,2015,3082,1,0.04%
Neptune,Monmouth,2015,17382,6,0.04%
Springfield,Union,2015,11511,4,0.04%
Brooklawn,Camden,2015,1131,0,0.04%
Seaside Heights,Ocean,2015,1428,1,0.04%
Weymouth,Atlantic,2015,2012,1,0.03%
Pilesgrove,Salem,2015,2877,1,0.03%
Oxford,Warren,2015,1730,1,0.03%
Atlantic Highlands,Monmouth,2015,3221,1,0.03%
Deerfield,Cumberland,2015,2052,1,0.03%
Westville,Gloucester,2015,2659,1,0.03%
Lacey,Ocean,2015,20857,7,0.03%
Elmwood Park,Bergen,2015,11958,4,0.03%
Woodstown,Salem,2015,2396,1,0.03%
Sayreville,Middlesex,2015,27715,9,0.03%
Bayonne,Hudson,2015,30262,10,0.03%
Barnegat,Ocean,2015,14320,5,0.03%
Upper Deerfield,Cumberland,2015,5580,2,0.03%
Hopewell,Cumberland,2015,3103,1,0.03%
Alpha,Warren,2015,1552,1,0.03%
Clayton,Gloucester,2015,5293,2,0.03%
Absecon,Atlantic,2015,5679,2,0.03%
Knowlton,Warren,2015,2211,1,0.03%
Laurel Springs,Camden,2015,1267,0,0.03%
North Bergen,Hudson,2015,25672,8,0.03%
Hillsdale,Bergen,2015,6741,2,0.03%
Washington,Burlington,2015,642,0,0.03%
Wenonah,Gloucester,2015,1616,1,0.03%
Pitman,Gloucester,2015,6148,2,0.03%
Plumsted,Ocean,2015,5847,2,0.03%
Mannington,Salem,2015,975,0,0.03%
Lyndhurst,Bergen,2015,12696,4,0.03%
Palisades Park,Bergen,2015,9964,3,0.03%
Garfield,Bergen,2015,16654,5,0.03%
Harmony,Warren,2015,2031,1,0.03%
Woodland,Burlington,2015,1020,0,0.03%
Fairview,Bergen,2015,6832,2,0.03%
East Orange,Essex,2015,24470,7,0.03%
Trenton,Mercer,2015,29482,8,0.03%
Rochelle Park,Bergen,2015,3525,1,0.03%
Roselle,Union,2015,10664,3,0.03%
Union City,Hudson,2015,17479,5,0.03%
West New York,Hudson,2015,15049,4,0.03%
River Edge,Bergen,2015,7194,2,0.03%
Mount Ephraim,Camden,2015,2886,1,0.03%
Brielle,Monmouth,2015,3621,1,0.03%
Atlantic City,Atlantic,2015,11389,3,0.03%
Union,Union,2015,34244,9,0.03%
South Amboy,Middlesex,2015,6190,2,0.03%
Stow Creek,Cumberland,2015,1175,0,0.03%
East Hanover,Morris,2015,7866,2,0.03%
Newark,Essex,2015,79073,20,0.03%
Dunellen,Middlesex,2015,4345,1,0.03%
Highlands,Monmouth,2015,3595,1,0.03%
Lower Alloways Creek,Salem,2015,1208,0,0.02%
Carlstadt,Bergen,2015,3752,1,0.02%
Elsinboro,Salem,2015,836,0,0.02%
White,Warren,2015,3516,1,0.02%
West Deptford,Gloucester,2015,14963,3,0.02%
Carteret,Middlesex,2015,13234,3,0.02%
Belleville,Essex,2015,18990,4,0.02%
Guttenberg,Hudson,2015,3686,1,0.02%
Quinton,Salem,2015,1872,0,0.02%
Linwood,Atlantic,2015,4728,1,0.02%
Emerson,Bergen,2015,4756,1,0.02%
Kenilworth,Union,2015,5293,1,0.02%
Bogota,Bergen,2015,4848,1,0.02%
City of Orange,Essex,2015,10257,2,0.02%
Alloway,Salem,2015,2475,1,0.02%
South Toms River,Ocean,2015,2029,0,0.02%
Penns Grove,Salem,2015,2061,0,0.02%
Pequannock,Morris,2015,10514,2,0.02%
Roosevelt,Monmouth,2015,526,0,0.02%
Ocean,Ocean,2015,6884,1,0.02%
Lakewood,Ocean,2015,33720,6,0.02%
Belvidere,Warren,2015,1721,0,0.02%
Passaic,Passaic,2015,17246,3,0.02%
Dover,Morris,2015,8237,1,0.02%
Paterson,Passaic,2015,43819,7,0.02%
Totowa,Passaic,2015,6392,1,0.02%
Somers Point,Atlantic,2015,6577,1,0.02%
Lawrence,Cumberland,2015,2034,0,0.01%
Audubon,Camden,2015,6212,1,0.01%
Bellmawr,Camden,2015,7034,1,0.01%
Pompton Lakes,Passaic,2015,7062,1,0.01%
Lincoln Park,Morris,2015,7119,1,0.01%
Maurice River,Cumberland,2015,2178,0,0.01%
Audubon Park,Camden,2015,743,0,0.01%
Pleasantville,Atlantic,2015,9155,1,0.01%
Victory Gardens,Morris,2015,764,0,0.01%
Carneys Point,Salem,2015,4652,1,0.01%
Saddle Brook,Bergen,2015,9434,1,0.01%
Middlesex,Middlesex,2015,9150,1,0.01%
Mount Arlington,Morris,2015,3744,0,0.01%
Estell Manor,Atlantic,2015,1249,0,0.01%
South Hackensack,Bergen,2015,1415,0,0.01%
Buena,Atlantic,2015,2946,0,0.01%
Elizabeth,Union,2015,45271,3,0.01%
Camden,Camden,2015,22752,1,0.01%
Keansburg,Monmouth,2015,5778,0,0.00%
Irvington,Essex,2015,20693,0,0.00%
Bound Brook,Somerset,2015,5681,0,0.00%
Norwood,Bergen,2015,4133,0,0.00%
Wharton,Morris,2015,3623,0,0.00%
Paulsboro,Gloucester,2015,3234,0,0.00%
Berlin,Camden,2015,3128,0,0.00%
Garwood,Union,2015,2937,0,0.00%
High Bridge,Hunterdon,2015,2677,0,0.00%
Mine Hill,Morris,2015,2249,0,0.00%
Netcong,Morris,2015,2178,0,0.00%
National Park,Gloucester,2015,1809,0,0.00%
Ogdensburg,Sussex,2015,1743,0,0.00%
Pine Beach,Ocean,2015,1608,0,0.00%
Lawnside,Camden,2015,1547,0,0.00%
Ocean Gate,Ocean,2015,1410,0,0.00%
Sea Isle City,Cape May,2015,1398,0,0.00%
Seaside Park,Ocean,2015,1357,0,0.00%
Oldmans,Salem,2015,1316,0,0.00%
Eagleswood,Ocean,2015,1187,0,0.00%
Chesilhurst,Camden,2015,976,0,0.00%
Greenwich,Cumberland,2015,747,0,0.00%
Deal,Monmouth,2015,542,0,0.00%
Barnegat Light,Ocean,2015,511,0,0.00%
Shiloh,Cumberland,2015,388,0,0.00%
Cape May Point,Cape May,2015,185,0,0.00%
Teterboro,Bergen,2015,53,0,0.00%
Tavistock,Camden,2015,6,0,0.00%
Walpack,Sussex,2015,5,0,0.00%
Pine Valley,Camden,2015,2,0,0.00%
